model,dataset,max_length,num_layers,hidden_dim,num_code
Base,ICEWS14,10,3,768,100
Base,ICEWS18,30,3,1024,100
Base,ICEWS05-15,30,3,1024,50
Base,GDELT,30,2,1024,30
